features,,,,,,,,
x,Spanish,AAVE,Non_Word,Swear_word,Drug_ref,Structure,likely_rap,likely_hiphop
split,,,,,,,,
spot,,,,,,,,
squad,,1,,,,,,
stack,,1,,,,,,
stacks,,1,,,,,,
stand,,,,,,,,
standin,,,,,,,,
standing,,,,,,,,
stars,,,,,,,,
started,,,,,,,,
starts,,,,,,,,
stay,,,,,,,,
steady,,,,,,,,
stone,,,,,1,,,
stop,,,,,,,,
street,,,,,,,,
streets,,,,,,,,
strong,,,,,,,,
stuck,,,,,,,,
stupid,,,,,,,,
style,,,,,,,,1
summer,,,,,,,,
sun,,,,,,,,
sure,,,,,,,,
survive,,,,,,,,
swear,,,,,,,,
sweet,,,,,,,,
swing,,,,,,,,
talk,,,,,,,,
talking,,,,,,,,
tape,,,,,,,,
te,1,,,,,,1,
team,,,,,,,,
tear,,,,,,,,
telling,,,,,,,,
ten,,,,,,,,
thang,,1,,,,,,
thank,,,,,,,,
that.ll,,,,,,,,
thick,,1,,,,,,
thinkin,,,,,,,,
thinking,,,,,,,,
though,,,,,,,,
thoughts,,,,,,,,
thousand,,,,,,,,
three,,,,,,,,
throat,,,,,,,,
throw,,,,,,,,
thug,,1,,,,,,
tight,,1,,,,,,
til,,1,,,,,,
tip,,,,,,,,
today,,,,,,,,
together,,,,,,,,
told,,,,,,,,
tonight,,,,,,,,
took,,,,,,,,
top,,,,,,,,
touch,,,,,,,,
tough,,,,,,,,
town,,,,,,,,
track,,,,,,,,
tracks,,,,,,,,
trap,,,,,1,,,
treat,,,,,,,,
tree,,,,,,,,
trees,,,,,,,,
trip,,,,,1,,,
trippin,,1,,,1,,,
trouble,,,,,,,,
truck,,,,,,,,
TRUE,,,,,,,,
trunk,,,,,,,,
trust,,,,,,,,
tryin,,,,,,,,
tryna,,1,,,,,,
tu,1,,,,,,1,
turn,,,,,,,,
type,,,,,,,,
uh,,,1,,,,,
uh.huh,,,1,,,,,
un,1,,,,,,1,
understand,,,,,,,,
upon,,,,,,,,
us,,,,,,,,
use,,,,,,,,
used,,,,,,,,
verso,1,,,,,,1,
vibe,,,,,,,,
vision,,,,,,,,
waitin,,,,,,,,
waiting,,,,,,,,
walk,,,,,,,,
walkin,,,,,,,,
walking,,,,,,,,
wants,,,,,,,,
war,,,,,,,,
warm,,,,,,,,
waste,,,,,,,,
watch,,,,,,,,
watching,,,,,,,,
water,,,,,,,,
wave,,,,,,,,
wayne,,,,,,,,
wear,,,,,,,,
weather,,,,,,,,
weed,,,,,1,,,
welcome,,,,,,,,
well,,,,,,,,
west,,,,,,,,
wet,,,,,,,,
whatever,,,,,,,,
wheel,,,,,,,,
white,,,,,,,,
whole,,,,,,,,
wide,,,,,,,,
wife,,,,,,,,
win,,,,,,,,
wine,,,,,1,,,
wit,,1,,,,,,
without,,,,,,,,
woke,,,,,,,,
women,,,,,,,,
woo,,,1,,,,1,
wood,,,,,,,,
word,,,,,,,,1
words,,,,,,,,
work,,,,,,,,
workin,,,,,,,,
working,,,,,,,,
world,,,,,,,,
worst,,,,,,,,
worth,,,,,,,,
wrote,,,,,,,,
x,,,1,,,,,
y,1,,1,,,,1,
y.all,,1,,,,,,1
ya,1,,,,,,,
yellow,,,,,,,,
yes,,,,,,,,
yesterday,,,,,,,,
yet,,,,,,,,
yo,1,1,,,,,,
york,,,,,,,,
young,,,,,,,,
